scenario,effective_cf,structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh,rank
cf_equalized_040,0.4,spar,15.0,rrcfrp,18.108648968531302,4.0
cf_equalized_040,0.4,fawt,2.0,gfrp,21.455149833385015,3.0
cf_equalized_040,0.4,fawt,2.0,cfrp,21.27393419670768,3.0
cf_equalized_040,0.4,fawt,2.0,rcfrp,20.47630908409075,3.0
cf_equalized_040,0.4,fawt,2.0,rrcfrp,20.87751987512794,3.0
cf_equalized_040,0.4,fawt,5.0,gfrp,17.58213991724912,3.0
cf_equalized_040,0.4,fawt,5.0,cfrp,17.369137032071553,3.0
cf_equalized_040,0.4,fawt,5.0,rcfrp,16.6376442112236,3.0
cf_equalized_040,0.4,fawt,5.0,rrcfrp,17.024433181877942,3.0
cf_equalized_040,0.4,fawt,10.0,gfrp,16.00009681146726,3.0
cf_equalized_040,0.4,fawt,10.0,cfrp,15.801098398836626,3.0
cf_equalized_040,0.4,fawt,10.0,rcfrp,15.110372378447549,3.0
cf_equalized_040,0.4,fawt,10.0,rrcfrp,15.475661067320235,3.0
cf_equalized_040,0.4,fawt,15.0,gfrp,15.328914070838216,3.0
cf_equalized_040,0.4,fawt,15.0,cfrp,15.123019744252929,3.0
cf_equalized_040,0.4,fawt,15.0,rcfrp,14.455438201360996,3.0
cf_equalized_040,0.4,fawt,15.0,rrcfrp,14.81306278378919,3.0
